E,5,£Aì¬.tif,762,,,,£Aì¬.tif,G_762.tif,154378394
E,6,ï×ôsôîôýòö.tif,763,z,,,ï×ôsôîôýòö.tif,G_763_z.tif,153028340
3,8,ÅHùtÄR.tif,769,a,,,ÅHùtÄR.tif,G_769_a.tif,158401074
3,8,ëãÄR.tif,769,b,,,ëãÄR.tif,G_769_b.tif,162203188
3,8,ïÞÉ{ö³.tif,772,,,,ïÞÉ{ö³.tif,G_772.tif,157833676
3,3,æÕÉX.tif,774,,,,æÕÉX.tif,G_774.tif,154222434
3,6,ï×ôsÉ╝ûkòö.tif,786,a,,,ï×ôsÉ╝ûkòö.tif,G_786_a.tif,155115510
3,6,ï×ôsôîûkòö.tif,786,b,,,ï×ôsôîûkòö.tif,G_786_b.tif,154336674
3,9,ÄO·▒.tif,799,b,,,ÄO·▒.tif,G_799_b.tif,155424462
3,9,ô▀î├.tif,799,c,y,,ô▀î├.tif,G_799_c.tif,156247942
3,3,æÕëY.tif,802,c,,,æÕëY.tif,G_802_c.tif,156417548
2,9,ëíÉ{ëÛ.tif,829,,,,ëíÉ{ëÛ.tif,G_829.tif,158071306
3,9,òxÆ├.tif,829,b,y,,òxÆ├.tif,G_829_b.tif,156433014
3,8,Ä×ûö.tif,852,,,,Ä×ûö.tif,G_852.tif,156547364
3,8,Égëä.tif,853,,,,Égëä.tif,G_853.tif,157625166
3,9,Å╝ôcæyù╠.tif,855,a,missing,,Å╝ôcæyù╠.tif,G_855_a.tif,FILE_NOT_HERE
3,9,ôíÓV.tif,855,b,y,,ôíÓV.tif,G_855_b.tif,155323602
3,7,ÆJïé.tif,869,,,,ÆJïé.tif,G_869.tif,154958382
3,6,æÕôê.tif,885,b,,,æÕôê.tif,G_885_b.tif,156659314
3,6,ûÈûýæ║.tif,885,a,,,ûÈûýæ║.tif,G_885_a.tif,156390668
3,8,ÉÈòõ.tif,893,,,,ÉÈòõ.tif,G_893.tif,157192270
2,9,É¼ôc.tif,901,,,,É¼ôc.tif,G_901.tif,156826622
3,7,öïî┤.tif,908,,,,öïî┤.tif,G_908.tif,155077520
2,9,ìKÄÞ.tif,939,,,,ìKÄÞ.tif,G_939.tif,154668762
2,9,î├ë═.tif,959,a,,,î├ë═.tif,G_959_a.tif,155124654
2,9,îïÅÚ.tif,959,b,,,îïÅÚ.tif,G_959_b.tif,154418996
2,9,Å¼Éý.tif,1027,,,,Å¼Éý.tif,G_1027.tif,156202818
2,8,ë┴û╬.tif,1079,,,,ë┴û╬.tif,G_1079.tif,156283322
2,9,Æåæ║_2.tif,1097,,Æåæ║_2.tif,NOTE – was Æåæ║.tif BUT I PRESUME THAT IT SHOULD BE: Æåæ║_2.tif,Æåæ║_2.tif,G_1097.tif,156669378
6,8,æèÉý.tif,1110,z,,,æèÉý.tif,G_1110_z.tif,154333522
2,8,æ║ÅÒ.tif,1119,,,,æ║ÅÒ.tif,G_1119.tif,155182176
