file_name,place_name,file_2_name,prefecture,map_warper_url,stanford_url
1480.tif,枝幸,rt246cm2336,1,https://mapwarper.h-gis.jp/maps/1480,http://purl.stanford.edu/rt246cm2336
1481.tif,利尻島,yg404zy4688,1,https://mapwarper.h-gis.jp/maps/1481,http://purl.stanford.edu/yg404zy4688
1482.tif,利尻島,xs555hq7820,1,https://mapwarper.h-gis.jp/maps/1482,http://purl.stanford.edu/xs555hq7820
1483.tif,稚咲内,jk153sr9922,1,https://mapwarper.h-gis.jp/maps/1483,http://purl.stanford.edu/jk153sr9922
1484.tif,豊富,wn604jm6763,1,https://mapwarper.h-gis.jp/maps/1484,http://purl.stanford.edu/wn604jm6763
1485.tif,上猿払,kk548wn9867,1,https://mapwarper.h-gis.jp/maps/1485,http://purl.stanford.edu/kk548wn9867
1486.tif,浜頓別,sn565wj3739,1,https://mapwarper.h-gis.jp/maps/1486,http://purl.stanford.edu/sn565wj3739
1487.tif,目梨泊,vy926bz4283,1,https://mapwarper.h-gis.jp/maps/1487,http://purl.stanford.edu/vy926bz4283
1488.tif,礼文島南部・利尻島,xv948np1580,1,https://mapwarper.h-gis.jp/maps/1488,http://purl.stanford.edu/xv948np1580
1489.tif,利尻島,yw499gp9137,1,https://mapwarper.h-gis.jp/maps/1489,http://purl.stanford.edu/yw499gp9137
1490.tif,抜海,vb461xw6023,1,https://mapwarper.h-gis.jp/maps/1490,http://purl.stanford.edu/vb461xw6023
1491.tif,沼川,xj388qq8834,1,https://mapwarper.h-gis.jp/maps/1491,http://purl.stanford.edu/xj388qq8834
1492.tif,鬼志別,wr512rp0028,1,https://mapwarper.h-gis.jp/maps/1492,http://purl.stanford.edu/wr512rp0028
1493.tif,礼文島北部,rq552hd6282,1,https://mapwarper.h-gis.jp/maps/1493,http://purl.stanford.edu/rq552hd6282
1494.tif,稚内,gc571kz4633,1,https://mapwarper.h-gis.jp/maps/1494,http://purl.stanford.edu/gc571kz4633
1495.tif,宗谷・稚内,bd525qp9440,1,https://mapwarper.h-gis.jp/maps/1495,http://purl.stanford.edu/bd525qp9440
1496.tif,知来別,dy941bm7042,1,https://mapwarper.h-gis.jp/maps/1496,http://purl.stanford.edu/dy941bm7042
1497.tif,宗谷岬,cx422vn9780,1,https://mapwarper.h-gis.jp/maps/1497,http://purl.stanford.edu/cx422vn9780
1498.tif,媒島,vb918kn7461,13,https://mapwarper.h-gis.jp/maps/1498,http://purl.stanford.edu/vb918kn7461
1499.tif,弟島,xw002zn8557,13,https://mapwarper.h-gis.jp/maps/1499,http://purl.stanford.edu/xw002zn8557
1500.tif,聟島,mf165zs8333,13,https://mapwarper.h-gis.jp/maps/1500,http://purl.stanford.edu/mf165zs8333
1501.tif,母島北部,dx090qz9203,13,https://mapwarper.h-gis.jp/maps/1501,http://purl.stanford.edu/dx090qz9203
1502.tif,父島,bn966bn5730,13,https://mapwarper.h-gis.jp/maps/1502,http://purl.stanford.edu/bn966bn5730
1503.tif,嫁島,sm559nt8009,13,https://mapwarper.h-gis.jp/maps/1503,http://purl.stanford.edu/sm559nt8009
1504.tif,母島南部,mp209sq9305,13,https://mapwarper.h-gis.jp/maps/1504,http://purl.stanford.edu/mp209sq9305
1505.tif,須美寿島,wy350db5629,13,https://mapwarper.h-gis.jp/maps/1505,http://purl.stanford.edu/wy350db5629
1506.tif,積丹岬,hk399qf4067,1,https://mapwarper.h-gis.jp/maps/1506,http://purl.stanford.edu/hk399qf4067
1507.tif,前橋,pc043ys3215,10,https://mapwarper.h-gis.jp/maps/1507,http://purl.stanford.edu/pc043ys3215
